City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,masterton,-40.9597,175.6575,288.49,46,62,2.68,NZ,1732229299
83,valentin gomez farias,28.2167,-106.5833,294.44,16,2,3.47,MX,1732229299
84,penticton,49.4806,-119.5858,278.09,87,75,1.54,CA,1732229180
85,enewetak,11.3474,162.3373,301.63,80,2,8.29,MH,1732229299
86,sil-li,39.4947,125.4736,275.31,47,0,6.02,KP,1732229299
87,mitsamiouli,-11.3847,43.2844,299.63,78,23,2.1,KM,1732229299
88,papatowai,-46.5619,169.4708,283.0,81,100,8.49,NZ,1732229299
89,alo,6.5486,4.2686,299.39,85,75,3.02,NG,1732229299
90,college,64.8569,-147.8028,264.12,84,100,0.0,US,1732229299
91,svobodnyy,51.4,128.1333,256.12,93,5,2.87,RU,1732229299
92,east end,34.5507,-92.341,289.99,45,0,3.48,US,1732229299
93,kununurra,-15.7667,128.7333,303.14,70,88,0.0,AU,1732229299
94,ust-nera,64.5667,143.2,239.9,99,74,1.82,RU,1732229300
95,kharabali,47.4196,47.2568,279.54,73,22,8.19,RU,1732229300
96,stanley,54.868,-1.6985,274.42,86,20,6.69,GB,1732229300
97,codrington,-38.2667,141.9667,299.66,29,85,2.79,AU,1732229300
98,errachidia,31.9275,-4.4285,288.18,44,0,3.09,MA,1732229300
99,kuanda,56.3161,116.0806,254.3,97,75,1.08,RU,1732229300
100,crane,31.3974,-102.3501,291.87,30,0,0.38,US,1732229300
101,anloga,5.7947,0.8973,300.63,79,59,5.48,GH,1732229300
102,tura,25.5198,90.2201,289.39,87,0,1.61,IN,1732229300
103,santa cruz,-17.8,-63.1667,302.18,70,75,3.6,BO,1732228668
104,rockland,41.1668,-74.0496,280.64,94,100,3.38,US,1732229300
105,kodinsk,58.6881,99.1844,266.24,94,91,1.93,RU,1732229300
106,noumea,-22.2763,166.4572,301.5,53,78,6.76,NC,1732229300
107,longyearbyen,78.2186,15.6401,266.06,79,75,3.09,SJ,1732229300
108,wailua homesteads,22.0669,-159.378,298.63,75,100,6.17,US,1732229300
109,tipasa,36.5897,2.4475,290.65,57,26,4.12,DZ,1732229300
110,nemuro,43.3236,145.575,280.5,77,100,5.7,JP,1732229300
111,port-saint-louis-du-rhone,43.3833,4.8,287.28,54,0,12.35,FR,1732229301
112,golpazari,40.2847,30.3172,279.12,82,100,1.35,TR,1732229301
113,nishinoomote,30.7333,131.0,290.71,61,4,8.92,JP,1732229301
114,mariental,-24.6333,17.9667,299.59,38,58,3.12,NA,1732229301
115,bahia de kino,28.8333,-111.9333,296.35,46,16,7.81,MX,1732229172
116,quellon,-43.1167,-73.6167,286.3,70,78,1.39,CL,1732229301
117,bethel,41.3712,-73.414,280.94,88,100,0.45,US,1732229301
118,kudahuvadhoo,2.6708,72.8944,300.26,78,93,3.56,MV,1732229301
119,carolina beach,34.0352,-77.8936,287.6,58,0,8.5,US,1732229301
120,kondrovo,54.8064,35.9278,274.43,86,100,6.32,RU,1732229301
121,tiksi,71.6872,128.8694,251.12,98,93,3.18,RU,1732229301
122,arteche,12.2645,125.4048,299.59,90,32,3.01,PH,1732229301
123,koulamoutou,-1.1303,12.4736,295.39,99,100,0.77,GA,1732229301
124,serhiyivka,46.0272,30.3768,276.34,69,23,4.3,UA,1732229301
125,sawakin,19.1059,37.3321,299.3,64,59,5.2,SD,1732229301
126,chonchi,-42.6128,-73.8092,286.41,66,88,1.45,CL,1732229293
127,papao,-17.75,-149.55,301.97,63,99,3.94,PF,1732229301
128,colares,38.7992,-9.4469,290.87,82,100,7.98,PT,1732229301
129,pisco,-13.7,-76.2167,295.18,78,0,7.72,PE,1732229301
130,gisborne,-38.6533,178.0042,287.99,56,57,8.38,NZ,1732229301
131,fu'an,27.0892,119.6453,284.98,96,13,1.45,CN,1732229302
132,slavkov u brna,49.1533,16.8765,275.54,90,100,3.6,CZ,1732229302
133,daru,-9.0763,143.2092,302.63,73,50,5.5,PG,1732229302
134,bredasdorp,-34.5322,20.0403,290.4,96,7,2.7,ZA,1732229302
135,christchurch,-43.5333,172.6333,289.23,61,20,5.14,NZ,1732229140
136,nikolayevsk-on-amure,53.1406,140.73,264.79,94,93,1.74,RU,1732229302
137,albany,42.6001,-73.9662,278.38,79,100,0.45,US,1732229181
138,invercargill,-46.4,168.35,284.27,84,98,7.6,NZ,1732229302
139,whitehorse,60.7161,-135.0538,257.6,84,100,1.54,CA,1732229302
140,sangueya,10.7,-14.3667,297.64,84,13,0.43,GN,1732229302
141,rawson,-43.3002,-65.1023,293.31,56,0,6.17,AR,1732229162
142,chikitigarh,19.2,84.6167,289.67,74,9,1.89,IN,1732229302
143,nova vicosa,-17.8919,-39.3719,298.36,81,36,4.24,BR,1732229302
144,smithers,54.7804,-127.1743,269.33,74,100,1.54,CA,1732229262
145,new norfolk,-42.7826,147.0587,290.88,55,92,0.43,AU,1732229302
146,walvis bay,-22.9575,14.5053,289.34,84,10,1.78,NA,1732229302
147,pangody,65.85,74.4859,246.13,97,15,2.89,RU,1732229302
148,east ballina,-28.8667,153.5833,293.37,90,95,5.44,AU,1732229302
149,muridke,31.8025,74.2617,289.14,30,24,1.73,PK,1732229302
150,coquimbo,-29.9533,-71.3436,290.0,68,0,5.14,CL,1732229095
151,hithadhoo,-0.6,73.0833,301.2,77,21,7.06,MV,1732229302
152,kuusamo,65.9667,29.1833,268.17,93,100,3.6,FI,1732229303
153,arraial do cabo,-22.9661,-42.0278,295.13,100,100,4.63,BR,1732229238
154,tarakan,3.3,117.6333,297.87,100,40,0.51,ID,1732229303
155,callao,-12.0667,-77.15,294.31,73,0,6.17,PE,1732229194
156,reggane,26.7158,0.1714,295.16,28,0,4.36,DZ,1732229303
157,alappuzha,9.49,76.3264,298.28,87,77,2.35,IN,1732229303
158,jamestown,42.097,-79.2353,274.95,91,20,1.54,US,1732229187
159,fort bragg,35.139,-79.006,286.06,44,20,3.6,US,1732229303
160,shido,34.3233,134.1733,284.37,76,20,3.09,JP,1732229303
161,hinesville,31.8469,-81.5959,286.4,53,0,4.23,US,1732229303
162,isla mujeres,21.2311,-86.731,299.18,72,78,7.73,MX,1732229303
163,cockburn town,21.4612,-71.1419,300.11,68,68,4.99,TC,1732229303
164,khandyga,62.6667,135.6,249.61,100,99,1.04,RU,1732229303
165,dalianwan,39.0286,121.695,274.17,64,0,1.0,CN,1732229303
166,kouroussa,10.65,-9.8833,296.5,35,10,0.8,GN,1732229303
167,hermanus,-34.4187,19.2345,290.87,93,7,4.1,ZA,1732229303
168,makarov,48.6333,142.8,270.79,87,100,5.61,RU,1732229303
169,sitka,57.0531,-135.33,278.09,38,0,2.57,US,1732229303
170,fortuna,40.5982,-124.1573,287.66,100,75,4.63,US,1732229303
171,plastun,44.7561,136.2939,272.42,94,100,1.6,RU,1732229303
172,holualoa,19.6228,-155.9522,299.57,70,0,4.12,US,1732229303
173,kodiak,57.79,-152.4072,285.88,26,0,5.66,US,1732229304
174,allapalli,19.4167,80.0667,287.43,75,26,1.11,IN,1732229304
175,inhambane,-23.865,35.3833,297.16,89,6,4.23,MZ,1732229304
176,swan hill,-35.3378,143.5544,304.18,24,83,6.43,AU,1732229304
177,petropavlovsk-kamchatsky,53.0452,158.6483,263.48,67,0,3.0,RU,1732229304
178,kavaratti,10.5669,72.642,300.48,76,68,2.99,IN,1732229304
179,georgetown,5.4112,100.3354,299.11,88,20,1.03,MY,1732229018
180,nola,40.922,14.5329,289.83,91,100,7.76,IT,1732229304
181,huilong,31.8111,121.655,282.96,78,0,2.82,CN,1732229304
182,padang,-0.9492,100.3543,296.18,97,100,3.0,ID,1732229304
